Organism/Name	TaxID	BioProject Accession	BioProject ID	Phyla	Genus	Size (Mb)	GC%	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession	Assembly Accession
Candidatus Sulcia muelleri CARI	706194	PRJNA43087	43087	Bacteroidetes/Chlorobi 	Bacteroidetes	0.276511	21.1	288	246	2010/09/09	2013/06/10	Complete	University of Montana	0	GCA_000147035.1
Candidatus Portiera aleyrodidarum BT-QVLC	1239881	PRJNA174845	174845	Proteobacteria	Gammaproteobacteria	0.357472	26.1	292	246	2012/09/19	2013/06/09	Complete	Instituto Cavanilles de Biodiversitat i Biologia Evolutiva (University of Valencia, Spain)	0	GCA_000298385.1
Candidatus Portiera aleyrodidarum BT-B-HRs	1206109	PRJNA169905	169905	Proteobacteria	Gammaproteobacteria	0.358242	26.2	296	256	2012/08/22	2013/06/09	Complete	Yale University	0	GCA_000292685.1
Candidatus Portiera aleyrodidarum TV	1297582	PRJNA190632	190632	Proteobacteria	Gammaproteobacteria	0.280663	24.7	307	269	2013/03/29	2013/06/10	Complete	Yale University	0	GCA_000349745.1
Candidatus Portiera aleyrodidarum BT-B-HRs	1206109	PRJNA175094	175094	Proteobacteria	Gammaproteobacteria	0.351658	26.2	307	273	2012/09/28	2013/06/09	Complete	IGSB, Department of Human Genetics	0	GCA_000300075.1
Candidatus Portiera aleyrodidarum BT-QVLC	1231388	PRJNA175143	175143	Proteobacteria	Gammaproteobacteria	0.350928	26.2	314	280	2012/09/28	2013/06/09	Complete	IGSB, Department of Human Genetics	0	GCA_000300035.1
Bacillus anthracis str. A2012	191218	PRJNA299	299	Firmicutes	Bacilli	5.37006	32.6715	332	297	2002/05/09	2012/11/07	Complete	J. Craig Venter Institute	0	GCA_000006155.2
Buchnera aphidicola (Cinara tujafilina)	261317	PRJNA41379	41379	Proteobacteria	Gammaproteobacteria	0.444925	23	405	360	2011/06/09	2013/06/11	Complete	Instituto Cavanilles Biodiversidad y Biologia evolutiva.Universidad Valencia	0	GCA_000217635.1
Buchnera aphidicola BCc	372461	PRJNA16372	16372	Proteobacteria	Gammaproteobacteria	0.422434	20.2032	402	362	2004/10/14	2013/05/23	Complete	Valencia Univ.	0	GCA_000090965.1
Candidatus Profftella armatura	669502	PRJNA39873	39873	Proteobacteria	Betaproteobacteria	0.464857	24.1965	410	372	2013/07/26	2013/08/05	Complete	RIKEN	0	GCA_000441555.1
Candidatus Moranella endobia PCIT	903503	PRJNA53213	53213	Proteobacteria	Gammaproteobacteria	0.538294	43.5	481	406	2011/06/24	2013/06/08	Complete	University of Montana	0	GCA_000219175.1
Candidatus Moranella endobia PCVAL	1234603	PRJNA175680	175680	Proteobacteria	Gammaproteobacteria	0.538203	43.5	483	411	2013/04/15	2013/06/10	Complete	ICBiBE (University of Valencia)	0	GCA_000364725.1
Mycoplasma genitalium G37	243273	PRJNA97	97	Tenericutes	Mollicutes	0.580076	31.7	525	476	1995/10/30	2013/05/23	Complete	TIGR	0	GCA_000027325.1
Buchnera aphidicola str. JF98 (Acyrthosiphon pisum)	713600	PRJNA43511	43511	Proteobacteria	Gammaproteobacteria	0.641771	26.3	512	477	2010/11/04	2013/06/08	Complete	University of York	0	GCA_000183305.1
Candidatus Phytoplasma mali	37692	PRJEA25335	25335	Tenericutes	Mollicutes	0.601943	21.4	536	481	2008/07/05	2012/08/20	Complete	Federal Biological Research Center for Agriculture and Forestry	0	GCA_000026205.1
Mycoplasma genitalium M6282	662946	PRJNA39705	39705	Tenericutes	Mollicutes	0.579504	31.7	523	484	2012/08/21	2013/06/09	Complete	LSU Health Sciences Center	0	GCA_000292445.1
Mycoplasma genitalium M2321	663918	PRJNA39739	39739	Tenericutes	Mollicutes	0.579977	31.7	538	499	2012/08/21	2013/06/09	Complete	Louisiana State University Health Sciences Center	0	GCA_000292405.1
Mycoplasma genitalium M2288	662947	PRJNA39707	39707	Tenericutes	Mollicutes	0.579558	31.7	545	506	2012/08/21	2013/06/09	Complete	LSU Health Sciences Center	0	GCA_000292505.1
Buchnera aphidicola str. Bp (Baizongia pistaciae)	224915	PRJNA256	256	Proteobacteria	Gammaproteobacteria	0.618379	25.3004	553	507	2003/01/27	2009/10/23	Complete	Valencia Univ.	0	GCA_000007725.1
Mycoplasma genitalium M6320	662945	PRJNA39703	39703	Tenericutes	Mollicutes	0.579796	31.7	548	509	2012/08/21	2013/06/09	Complete	LSU Health Sciences Center	0	GCA_000292485.1
Candidatus Phytoplasma solani 284/09	1273548	PRJEB1231	223368	Tenericutes	Mollicutes	0.570238	28.7	520	520	2013/10/22	2013/10/28	Complete	MPIMG	0	0
Borrelia valaisiana VS116	445987	PRJNA19843	19843	Spirochaetes	Spirochaetia	1.25886	25.8298	521	520	2007/06/26	2010/11/16	Complete	J. Craig Venter Institute	0	GCA_000170955.2
Mycoplasma hominis ATCC 23114	2098	PRJEA53147	53147	Tenericutes	Mollicutes	0.665445	27.1	577	523	2009/11/14	2012/02/07	Complete	Genoscope	0	GCA_000085865.1
Buchnera aphidicola str. Ua (Uroleucon ambrosiae)	1005057	PRJNA65479	65479	Proteobacteria	Gammaproteobacteria	0.627953	24.1448	591	538	2011/09/07	2012/09/27	Complete	Yale University	0	GCA_000225465.1
Nanoarchaeum equitans Kin4-M	228908	PRJNA9599	9599	Nanoarchaeota	Nanoarchaeum	0.490885	31.6	585	540	2003/11/17	2013/05/23	Complete	DIVERSA	0	GCA_000008085.1
Blattabacterium sp. (Mastotermes darwiniensis) str. MADAR	1074889	PRJNA70095	70095	Bacteroidetes/Chlorobi 	Bacteroidetes	0.590336	27.523	593	544	2011/10/31	2011/11/16	Complete	Yale University	0	GCA_000233435.1
Buchnera aphidicola str. Sg (Schizaphis graminum)	198804	PRJNA312	312	Proteobacteria	Gammaproteobacteria	0.641454	25.3	620	545	2002/06/10	2013/05/23	Complete	Uppsala Univ.	0	GCA_000007365.1
Blattabacterium sp. (Cryptocercus punctulatus) str. Cpu	1075399	PRJNA71047	71047	Bacteroidetes/Chlorobi 	Bacteroidetes	0.609561	23.8419	589	548	2011/11/29	2012/06/16	Complete	University of Valencia	0	GCA_000236405.1
Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum)	561501	PRJNA31223	31223	Proteobacteria	Gammaproteobacteria	0.641895	26.3	598	553	2009/01/06	2012/01/25	Complete	University of Arizona	0	GCA_000021065.1
Buchnera aphidicola str. 5A (Acyrthosiphon pisum)	563178	PRJNA31225	31225	Proteobacteria	Gammaproteobacteria	0.642122	26.3	599	555	2009/01/06	2012/01/25	Complete	University of Arizona	0	GCA_000021085.1
Candidatus Riesia pediculicola USDA	515618	PRJNA29065	29065	Proteobacteria	Gammaproteobacteria	0.582127	28.589	598	556	2010/03/16	2010/03/29	Complete	J. Craig Venter Institute	0	GCA_000093065.1
Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)	1005090	PRJNA65481	65481	Proteobacteria	Gammaproteobacteria	0.653223	25.7113	625	569	2011/09/07	2012/09/27	Complete	Yale University	0	GCA_000225445.1
Buchnera aphidicola str. TLW03 (Acyrthosiphon pisum)	713602	PRJNA43507	43507	Proteobacteria	Gammaproteobacteria	0.64177	26.3	608	573	2010/11/04	2013/06/08	Complete	University of York	0	GCA_000183245.1
Buchnera aphidicola str. APS (Acyrthosiphon pisum)	107806	PRJNA245	245	Proteobacteria	Gammaproteobacteria	0.655725	26.3523	617	574	2000/05/03	2013/07/04	Complete	Rikken GSC	0	GCA_000009605.1
Blattabacterium sp. (Panesthia angustipennis spadica) str. BPAA	1229512	PRJDB477	193085	Bacteroidetes/Chlorobi 	Bacteroidetes	0.63249	26.4	624	575	2013/03/14	2013/07/07	Complete	University of the Ryukyus	0	GCA_000348805.1
secondary endosymbiont of Heteropsylla cubana	1199246	PRJNA165199	165199	Proteobacteria	Gammaproteobacteria	1.1216	28.9	620	576	2012/08/13	2013/06/09	Complete	Yale University	0	GCA_000287355.1
Buchnera aphidicola str. LL01 (Acyrthosiphon pisum)	713603	PRJNA43505	43505	Proteobacteria	Gammaproteobacteria	0.641799	26.3	612	577	2010/11/04	2013/06/08	Complete	University of York	0	GCA_000183225.1
Blattabacterium sp. (Blaberus giganteus)	1186051	PRJNA163677	163677	Bacteroidetes/Chlorobi 	Bacteroidetes	0.632588	25.7281	615	577	2012/05/14	2012/08/08	Complete	Yale University	0	GCA_000262715.1
Blattabacterium sp. (Blatta orientalis) str. Tarazona	1072467	PRJNA71049	71049	Bacteroidetes/Chlorobi 	Bacteroidetes	0.638184	28.214	627	579	2013/01/30	2013/01/30	Complete	Universitat de Val̬ncia	0	GCA_000334405.1
Mycoplasma parvum str. Indiana	1403316	PRJNA219646	219646	Tenericutes	Mollicutes	0.564395	27	616	581	2013/10/21	2013/10/22	Complete	Purdue University	0	GCA_000477415.1
Blattabacterium sp. (Periplaneta americana) str. BPLAN	600809	PRJNA32975	32975	Bacteroidetes/Chlorobi 	Bacteroidetes	0.640442	28.2016	625	582	2009/10/19	2009/12/03	Complete	University of Arizona-Tucson	0	GCA_000093165.1
Candidatus Blochmannia floridanus	203907	PRJNA443	443	Proteobacteria	Gammaproteobacteria	0.705557	27.4	631	583	2003/08/07	2013/05/23	Complete	Univ. Valencia	0	GCA_000043285.1
Blattabacterium sp. (Nauphoeta cinerea)	1316444	PRJNA196320	196320	Bacteroidetes/Chlorobi 	Bacteroidetes	0.626626	26.0678	622	586	2013/09/27	2013/10/17	Complete	UT Tyler Biology Dept.	0	GCA_000471965.1
Candidatus Blochmannia vafer str. BVAF	859654	PRJNA50045	50045	Proteobacteria	Gammaproteobacteria	0.722585	27.5	631	587	2011/01/13	2013/06/08	Complete	Josephine Bay Paul Center for Comparative Molecular Biology and Evolution, Marine Biological Laboratory	0	GCA_000185985.2
Buchnera aphidicola str. JF99 (Acyrthosiphon pisum)	713601	PRJNA43509	43509	Proteobacteria	Gammaproteobacteria	0.641716	26.3	625	590	2010/11/04	2013/06/08	Complete	University of York	0	GCA_000183285.1
Blattabacterium sp. (Blattella germanica) str. Bge	331104	PRJNA31103	31103	Bacteroidetes/Chlorobi 	Bacteroidetes	0.640935	27.1172	631	590	2009/11/02	2012/01/26	Complete	University of Valencia	0	GCA_000022605.2
Baumannia cicadellinicola str. Hc (Homalodisca coagulata)	374463	PRJNA12513	12513	Proteobacteria	Gammaproteobacteria	0.686194	33.2	651	595	2006/04/27	2013/05/23	Complete	TIGR	0	GCA_000013185.1
Ureaplasma parvum serovar 3 str. ATCC 27815	505682	PRJNA19087	19087	Tenericutes	Mollicutes	0.751679	25.5	647	609	2008/02/26	2012/12/23	Complete	TIGR	0	GCA_000019345.1
Candidatus Blochmannia chromaiodes str. 640	1240471	PRJNA176942	176942	Proteobacteria	Gammaproteobacteria	0.791219	29.5	658	609	2013/01/04	2013/06/10	Complete	Duke University	0	GCA_000331065.1
Candidatus Blochmannia pennsylvanicus str. BPEN	291272	PRJNA13875	13875	Proteobacteria	Gammaproteobacteria	0.791654	29.6	658	610	2005/08/04	2013/05/23	Complete	Josephine Bay Paul Center	0	GCA_000011745.1
Mycoplasma pneumoniae M129-B7	1238993	PRJNA176548	176548	Tenericutes	Mollicutes	0.816373	40	693	613	2013/01/04	2013/06/11	Complete	University of Alabama at Birmingham	0	GCA_000331085.1
Ureaplasma parvum serovar 3 str. ATCC 700970	273119	PRJNA101	101	Tenericutes	Mollicutes	0.751719	25.5	653	614	2000/01/10	2013/06/10	Complete	Univ.AL-Birmingham	0	GCA_000006625.1
Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis	36870	PRJNA274	274	Proteobacteria	Gammaproteobacteria	0.703004	22.4962	657	617	2002/03/02	2013/05/23	Complete	Yale Univ.	0	GCA_000008885.1
Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans (Yale colony)	1142511	PRJNA82191	82191	Proteobacteria	Gammaproteobacteria	0.719535	25.2	679	618	2012/02/10	2013/06/08	Complete	Yale University School of Public Health	0	GCA_000247565.1
Mycoplasma pneumoniae FH	722438	PRJNA49525	49525	Tenericutes	Mollicutes	0.811088	40	799	629	2010/07/29	2013/06/08	Complete	J. Craig Venter Institute	0	GCA_000143945.1
Mycoplasma arthritidis 158L3-1	243272	PRJNA1422	1422	Tenericutes	Mollicutes	0.820453	30.7	671	631	2008/06/25	2013/01/14	Complete	TIGR	0	GCA_000020065.1
Mycoplasma mobile 163K	267748	PRJNA10697	10697	Tenericutes	Mollicutes	0.777079	25	669	635	2004/05/18	2013/05/23	Complete	Broad Institute	0	GCA_000008365.1
Ureaplasma urealyticum serovar 10 str. ATCC 33699	565575	PRJNA20247	20247	Tenericutes	Mollicutes	0.874478	25.8	695	646	2008/10/16	2012/12/23	Complete	J. Craig Venter Institute	0	GCA_000021265.1
Mycoplasma hyorhinis GDL-1	1129369	PRJNA80425	80425	Tenericutes	Mollicutes	0.83748	25.9	741	647	2012/01/04	2013/06/08	Complete	University of Missouri	0	GCA_000241125.1
Wolbachia endosymbiont of Onchocerca ochengi	1141110	PRJEA81837	81837	Proteobacteria	Alphaproteobacteria	0.95799	32.1	881	647	2012/07/30	2013/06/09	Complete	University of Liverpool	0	GCA_000306885.1
Mycoplasma putrefaciens KS1	743965	PRJNA46453	46453	Tenericutes	Mollicutes	0.832603	26.9	725	650	2011/08/19	2013/06/08	Complete	University of Missouri	0	GCA_000224105.1
Mycoplasma wenyonii str. Massachusetts	1197325	PRJNA168067	168067	Tenericutes	Mollicutes	0.650228	33.9	687	652	2012/07/16	2013/06/09	Complete	Purdue University	0	GCA_000277795.1
Mycoplasma hyorhinis HUB-1	872331	PRJNA51405	51405	Tenericutes	Mollicutes	0.839615	25.9	711	658	2010/08/20	2013/06/08	Complete	Division of Animal Infectious Diseases, State Key Laboratory of Agricultural Microbiology Huazhong Agricultural University	0	GCA_000145705.1
Mycoplasma putrefaciens Mput9231	1292033	PRJNA188690	188690	Tenericutes	Mollicutes	0.859996	27	747	667	2013/04/22	2013/07/26	Complete	EVOLMYCO	0	GCA_000376625.1
Serratia symbiotica str. 'Cinara cedri'	568817	PRJNA32211	32211	Proteobacteria	Gammaproteobacteria	1.76276	29.2	772	672	2011/12/20	2013/06/08	Complete	Valencia University	0	GCA_000238975.1
Mycoplasma hyopneumoniae J	262719	PRJNA10675	10675	Tenericutes	Mollicutes	0.897405	28.5	720	674	2005/08/05	2013/05/23	Complete	LNCC - Laboratorio Nacional de Computacao Cientifica	0	GCA_000008205.1
Mycoplasma hyopneumoniae 7422	754503	PRJNA47327	47327	Tenericutes	Mollicutes	0.898495	28.5	711	677	2013/07/15	2013/07/22	Complete	Genesul	0	GCA_000427215.1
Mesoplasma florum L1	265311	PRJNA10650	10650	Tenericutes	Mollicutes	0.793224	27	715	680	2004/07/19	2013/07/22	Complete	Broad Institute	0	GCA_000008305.1
Mycoplasma synoviae 53	262723	PRJNA10676	10676	Tenericutes	Mollicutes	0.799476	28.5	737	681	2005/08/05	2013/05/23	Complete	LNCC - Laboratorio Nacional de Computacao Cientifica	0	GCA_000008245.1
Mycoplasma hyopneumoniae 168-L	1116211	PRJNA76853	76853	Tenericutes	Mollicutes	0.921093	28.5	726	683	2013/05/22	2013/06/11	Complete	Huazhong Agricultural University	0	GCA_000400855.1
Candidatus Phytoplasma australiense	59748	PRJNA29469	29469	Tenericutes	Mollicutes	0.879959	27.4	882	684	2008/04/01	2011/01/06	Complete	Max Planck Institute	0	GCA_000069925.1
Mycoplasma pneumoniae M129	272634	PRJNA99	99	Tenericutes	Mollicutes	0.816394	40	732	688	1996/11/15	2013/07/22	Complete	Heidelberg Univ.	0	GCA_000027345.1
Mycoplasma crocodyli MP145	512564	PRJNA29021	29021	Tenericutes	Mollicutes	0.934379	27	763	689	2010/03/26	2013/06/10	Complete	J. Craig Venter Institute	0	GCA_000025845.1
Mycoplasma hyopneumoniae 232	295358	PRJNA13120	13120	Tenericutes	Mollicutes	0.892758	28.6	727	691	2004/10/08	2013/06/10	Complete	Iowa State University	0	GCA_000008405.1
Aster yellows witches'-broom phytoplasma AYWB	322098	PRJNA13478	13478	Tenericutes	Mollicutes	0.72397	26.8254	730	693	2006/01/11	2010/03/05	Complete	Ohio State University	0	GCA_000012225.1
Mycoplasma hyopneumoniae 168	907287	PRJNA53881	53881	Tenericutes	Mollicutes	0.925576	28.5	741	695	2010/11/24	2013/06/08	Complete	Huazhong Agricultural University	0	GCA_000183185.1
Mycoplasma conjunctivae	572263	PRJEA32285	32285	Tenericutes	Mollicutes	0.846214	28.6	731	696	2009/06/17	2012/12/23	Complete	Swiss Institute of Bioinformatics	0	GCA_000026765.1
Mycoplasma hyopneumoniae 7448	262722	PRJNA10639	10639	Tenericutes	Mollicutes	0.920079	28.5	746	698	2005/08/08	2013/05/23	Complete	LNCC - Laboratorio Nacional de Computacao Cientifica	0	GCA_000008225.1
Mycoplasma pneumoniae 309	1112856	PRJDB8	78181	Tenericutes	Mollicutes	0.817176	40	750	707	2011/12/01	2013/06/08	Complete	National Institute of Infectious Diseases	0	GCA_000283755.1
Mesoplasma florum W37	1406864	PRJNA222289	222289	Tenericutes	Mollicutes	0.825824	27	768	733	2013/10/24	2013/10/24	Complete	Universite de Sherbrooke	0	GCA_000479355.1
Mycoplasma gallisepticum NC08_2008.031-4-3P	1159204	PRJNA86109	86109	Tenericutes	Mollicutes	0.92665	31.6	777	739	2012/08/10	2013/06/09	Complete	University of Connecticut	0	GCA_000286815.1
Mycoplasma gallisepticum NC06_2006.080-5-2P	1159202	PRJNA86105	86105	Tenericutes	Mollicutes	0.938869	31.6	782	744	2012/08/10	2013/06/09	Complete	University of Connecticut	0	GCA_000286775.1
Mycoplasma gallisepticum WI01_2001.043-13-2P	1159201	PRJNA86103	86103	Tenericutes	Mollicutes	0.939844	31.6	784	746	2012/08/10	2013/06/09	Complete	University of Connecticut	0	GCA_000286755.1
Mycoplasma agalactiae PG2	347257	PRJNA16095	16095	Tenericutes	Mollicutes	0.877438	29.7	801	751	2007/05/23	2013/06/06	Complete	Genoscope	0	GCA_000063605.1
Onion yellows phytoplasma OY-M	262768	PRJNA9615	9615	Tenericutes	Mollicutes	0.853092	27.8	791	752	2003/12/09	2012/09/27	Complete	The University of Tokyo, Japan	0	GCA_000009845.1
Mycoplasma hyorhinis SK76	1118964	PRJNA78027	78027	Tenericutes	Mollicutes	0.836897	25.9	786	753	2012/11/20	2013/06/11	Complete	MD Anderson Cancer Center	0	GCA_000313635.1
Mycoplasma gallisepticum NC95_13295-2-2P	1159198	PRJNA86095	86095	Tenericutes	Mollicutes	0.953989	31.6	792	754	2012/08/10	2013/06/09	Complete	University of Connecticut	0	GCA_000286695.1
Mycoplasma gallisepticum str. F	708616	PRJNA43301	43301	Tenericutes	Mollicutes	0.977612	31.4	810	756	2010/01/29	2013/06/08	Complete	University of Connecticut	0	GCA_000025385.1
Mycoplasma gallisepticum NY01_2001.047-5-1P	1159200	PRJNA86099	86099	Tenericutes	Mollicutes	0.965525	31.6	798	760	2012/08/10	2013/06/09	Complete	University of Connecticut	0	GCA_000286735.1
Mycoplasma gallisepticum CA06_2006.052-5-2P	1159203	PRJNA86107	86107	Tenericutes	Mollicutes	0.976412	31.6	801	763	2012/08/10	2013/06/09	Complete	University of Connecticut	0	GCA_000286795.1
Mycoplasma gallisepticum str. R(low)	710127	PRJNA409	409	Tenericutes	Mollicutes	1.0128	31.5	817	763	2003/06/09	2013/06/10	Complete	Univ. Connecticut	0	GCA_000092585.1
Mycoplasma bovis PG45	289397	PRJNA12525	12525	Tenericutes	Mollicutes	1.0034	29.3	868	765	2010/11/30	2013/06/27	Complete	TIGR	0	GCA_000183385.1
Mycoplasma gallisepticum str. R(high)	710128	PRJNA43299	43299	Tenericutes	Mollicutes	1.01203	31.5	820	766	2010/01/29	2013/06/08	Complete	University of Connecticut	0	GCA_000025365.1
Mycoplasma gallisepticum VA94_7994-1-7P	1159197	PRJNA86093	86093	Tenericutes	Mollicutes	0.96411	31.6	805	767	2012/08/10	2013/06/09	Complete	University of Connecticut	0	GCA_000286675.1
Mycoplasma gallisepticum NC96_1596-4-2P	1159199	PRJNA86097	86097	Tenericutes	Mollicutes	0.986257	31.6	809	771	2012/08/10	2013/06/09	Complete	University of Connecticut	0	GCA_000286715.1
Mycoplasma hyorhinis MCLD	936139	PRJNA61173	61173	Tenericutes	Mollicutes	0.829709	25.9	811	778	2011/04/27	2013/06/11	Complete	The Hebrew University Hadassah Medical School	0	GCA_000211295.1
Mycoplasma suis KI3806	708248	PRJNA43245	43245	Tenericutes	Mollicutes	0.70927	31.1	844	794	2011/02/17	2013/06/10	Complete	Institute of Veterinary Bacteriology	0	GCA_000203215.1
Anaplasma marginale str. Dawn	1412841	PRJNA224564	224564	Proteobacteria	Alphaproteobacteria	1.19676	49.6	901	794	2013/11/05	2013/11/06	Complete	inmegen	0	GCA_000495535.1
Mycoplasma fermentans JER	637387	PRJNA36551	36551	Tenericutes	Mollicutes	0.977524	26.9	866	797	2010/09/24	2013/06/10	Complete	Georg-August-University Goettingen	0	GCA_000148625.1
Mycoplasma bovis Hubei-1	956483	PRJNA62195	62195	Tenericutes	Mollicutes	0.948121	29.3	839	801	2011/06/27	2013/06/08	Complete	Harbin Veterinary Research Institute	0	GCA_000219375.1
Wolbachia endosymbiont strain TRS of Brugia malayi	292805	PRJNA12475	12475	Proteobacteria	Alphaproteobacteria	1.08008	34.2	940	805	2005/02/02	2013/05/23	Complete	New England Biolabs, Inc.	0	GCA_000008385.1
Borrelia miyamotoi LB-2001	1302858	PRJNA192621	192621	Spirochaetes	Spirochaetia	0.907294	28.7	859	808	2013/08/12	2013/08/14	Complete	University of California Irvine	0	GCA_000445425.1
Tropheryma whipplei str. Twist	203267	PRJNA95	95	Actinobacteria	Actinobacteria	0.927303	46.3	862	808	2003/02/24	2013/06/10	Complete	Genoscope	0	GCA_000007485.1
Mycoplasma capricolum subsp. capricolum ATCC 27343	340047	PRJNA16208	16208	Tenericutes	Mollicutes	1.01002	23.8	867	812	2005/12/06	2013/06/10	Complete	J. Craig Venter Institute	0	GCA_000012765.1
Borrelia garinii NMJW1	1234596	PRJNA175615	175615	Spirochaetes	Spirochaetia	0.902789	28.4	849	813	2012/09/28	2013/06/09	Complete	State Key Laboratory of Pathogen and Biosecurity	0	GCA_000300045.1
Mycoplasma bovis HB0801	767465	PRJNA49159	49159	Tenericutes	Mollicutes	0.991702	29.3	873	814	2012/06/19	2013/06/09	Complete	State Key Laboratory of Agricultural Microbiology(AML)	0	GCA_000270525.1
Borrelia turicatae 91E135	314724	PRJNA13597	13597	Spirochaetes	Spirochaetia	0.91733	29.1	853	818	2006/12/22	2013/06/06	Complete	Laboratory of Human Bacterial Pathenogenesis, Rocky Mountain Laboratories, NIAID	0	GCA_000012085.1
Borrelia burgdorferi CA382	1328311	PRJNA200089	200089	Spirochaetes	Spirochaetia	0.910736	28.6	857	819	2013/08/06	2013/08/09	Complete	University of California Irvine	0	GCA_000444465.1
Mycoplasma agalactiae	2110	PRJEA16096	16096	Tenericutes	Mollicutes	1.0067	29.6	867	820	2010/03/05	2012/02/07	Complete	Genoscope	0	GCA_000089865.1
Rickettsia prowazekii str. GvV257	1105098	PRJNA75007	75007	Proteobacteria	Alphaproteobacteria	1.11197	29	865	829	2012/03/21	2013/06/08	Complete	Los Alamos National Laboratory	0	GCA_000277245.1
Mycoplasma mycoides subsp. capri str. GM12	436113	PRJNA39245	39245	Tenericutes	Mollicutes	1.08459	23.9	908	830	2009/08/21	2009/09/02	Complete	JCVI	0	GCA_000023685.1
Mycoplasma mycoides subsp. capri str. GM12	436113	PRJNA19245	19245	Tenericutes	Mollicutes	1.0892	23.9	911	832	2009/08/21	2009/08/21	Complete	J. Craig Venter Institute	0	GCA_000023165.1
Rickettsia prowazekii str. RpGvF24	1105099	PRJNA75009	75009	Proteobacteria	Alphaproteobacteria	1.1121	29	870	834	2012/03/21	2013/06/08	Complete	Los Alamos National Laboratory	0	GCA_000277265.1
Rickettsia typhi str. TH1527	1003201	PRJNA65219	65219	Proteobacteria	Alphaproteobacteria	1.11237	28.9	874	838	2012/03/21	2013/10/17	Complete	Los Alamos National Lab	0	GCA_000277285.1
Rickettsia typhi str. Wilmington	257363	PRJNA10679	10679	Proteobacteria	Alphaproteobacteria	1.1115	28.9	919	838	2004/08/19	2013/06/10	Complete	Human Genome Sequencing Center, Baylor College of Medicine	0	GCA_000008045.1
Rickettsia typhi str. B9991CWPP	1003202	PRJNA65221	65221	Proteobacteria	Alphaproteobacteria	1.11296	28.9	875	839	2012/03/21	2013/06/08	Complete	Los Alamos National Lab	0	GCA_000277305.1
Rickettsia prowazekii str. Dachau	1105097	PRJNA75005	75005	Proteobacteria	Alphaproteobacteria	1.10905	29	875	839	2012/03/21	2013/10/17	Complete	Los Alamos National Laboratory	0	GCA_000277225.1
Rickettsia prowazekii str. BuV67-CWPP	1105096	PRJNA75003	75003	Proteobacteria	Alphaproteobacteria	1.11145	29	879	843	2012/03/21	2013/06/08	Complete	Los Alamos National Laboratory	0	GCA_000277205.1
